id,dataset,task,label,source,model,device,answer_length_tokens,mean_token_probability,min_token_probability,max_token_probability,mean_token_logprob,min_token_logprob,max_token_logprob,sum_token_logprob,negative_mean_logprob,low_confidence_token_ratio,mean_token_entropy,min_token_entropy,max_token_entropy,sum_token_entropy,high_entropy_token_ratio
halueval_qa_000000_supported,halueval,qa,0,right_answer,models/qwen2.5-3b,mps,3,0.8693293531735738,0.6234034895896912,0.9988481402397156,-0.16269337529471764,-0.47256138920783997,-0.0011524470755830407,-0.48808012588415295,0.16269337529471764,0.0,0.41188986257960397,0.01468901801854372,1.10708749294281,1.235669587738812,0.0
halueval_qa_000000_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-3b,mps,7,0.8069070492471967,0.2899095416069031,0.9985166192054749,-0.28541711242204265,-1.2381863594055176,-0.0014844837132841349,-1.9979197869542986,0.28541711242204265,0.0,0.5275667309761047,0.012692570686340332,1.2247744798660278,3.692967116832733,0.0
halueval_qa_000001_supported,halueval,qa,0,right_answer,models/qwen2.5-3b,mps,2,0.4997289666207507,0.0022240655962377787,0.9972338676452637,-3.0555941932834685,-6.1084184646606445,-0.0027699219062924385,-6.111188386566937,3.0555941932834685,0.5,0.4538206094875932,0.028823362663388252,0.8788178563117981,0.9076412189751863,0.0
halueval_qa_000001_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-3b,mps,12,0.592012209041665,0.004295451566576958,0.99989914894104,-1.0030906280377774,-5.450198650360107,-0.00010084597306558862,-12.037087536453328,1.0030906280377774,0.08333333333333333,0.9945689736050554,0.0012851038482040167,3.116957664489746,11.934827683260664,0.16666666666666666
halueval_qa_000002_supported,halueval,qa,0,right_answer,models/qwen2.5-3b,mps,3,0.21447700884891674,0.00015118351439014077,0.5834473371505737,-4.050674498081207,-8.797016143798828,-0.5388011336326599,-12.152023494243622,4.050674498081207,0.6666666666666666,3.175364851951599,1.1292856931686401,4.52726936340332,9.526094555854797,0.6666666666666666
halueval_qa_000002_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-3b,mps,23,0.5172800004947931,0.0034694382920861244,0.9997555613517761,-1.7476306201867333,-5.66376256942749,-0.0002444683632347733,-40.19550426429487,1.7476306201867333,0.34782608695652173,1.404249822963839,0.002539096400141716,4.330626487731934,32.2977459281683,0.30434782608695654
halueval_qa_000003_supported,halueval,qa,0,right_answer,models/qwen2.5-3b,mps,1,0.0008701873593963683,0.0008701873593963683,0.0008701873593963683,-7.046802043914795,-7.046802043914795,-7.046802043914795,-7.046802043914795,7.046802043914795,1.0,1.1216959953308105,1.1216959953308105,1.1216959953308105,1.1216959953308105,0.0
halueval_qa_000003_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-3b,mps,8,0.8498898763209581,0.07188202440738678,0.9996913075447083,-0.36488493778233533,-2.6327290534973145,-0.00030870441696606576,-2.9190795022586826,0.36488493778233533,0.125,0.6723515325284097,0.003898958908393979,3.425736427307129,5.378812260227278,0.125
halueval_qa_000004_supported,halueval,qa,0,right_answer,models/qwen2.5-3b,mps,2,0.03288781925220974,4.1110499296337366e-05,0.06573452800512314,-6.410688996315002,-10.099246978759766,-2.7221310138702393,-12.821377992630005,6.410688996315002,1.0,2.3279248476028442,1.5385725498199463,3.117277145385742,4.6558496952056885,0.5
halueval_qa_000004_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-3b,mps,6,0.19244890021976366,5.3295825637178496e-06,0.9471098780632019,-5.36309870891273,-12.142237663269043,-0.0543401725590229,-32.17859225347638,5.36309870891273,0.6666666666666666,3.328815499941508,0.3697786331176758,5.747866630554199,19.972892999649048,0.5
halueval_qa_000005_supported,halueval,qa,0,right_answer,models/qwen2.5-3b,mps,2,0.6827555894851685,0.36810117959976196,0.997409999370575,-0.5009954135166481,-0.9993974566459656,-0.0025933703873306513,-1.0019908270332962,0.5009954135166481,0.0,0.4993526376783848,0.03428984433412552,0.964415431022644,0.9987052753567696,0.0
halueval_qa_000005_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-3b,mps,10,0.8367568828165531,0.08232913166284561,0.9999276995658875,-0.3356049374218856,-2.497030258178711,-7.223821739898995e-05,-3.3560493742188555,0.3356049374218856,0.1,0.2677248112508096,0.0007943968521431088,0.9628512859344482,2.677248112508096,0.0
halueval_qa_000006_supported,halueval,qa,0,right_answer,models/qwen2.5-3b,mps,5,0.336280333250761,0.005004324018955231,0.9690823554992676,-2.486008321493864,-5.297452926635742,-0.031405624002218246,-12.43004160746932,2.486008321493864,0.4,2.871812218427658,0.25175532698631287,5.872061729431152,14.35906109213829,0.6
halueval_qa_000006_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-3b,mps,16,0.45131737527175275,8.131957542900636e-07,0.9994945526123047,-3.075009077132563,-14.022294044494629,-0.0005055579822510481,-49.20014523412101,3.075009077132563,0.375,1.6317115273850504,0.005935648921877146,4.291947841644287,26.107384438160807,0.3125
