id,dataset,task,label,source,model,device,answer_length_tokens,mean_token_probability,min_token_probability,max_token_probability,mean_token_logprob,min_token_logprob,max_token_logprob,sum_token_logprob,negative_mean_logprob,low_confidence_token_ratio,mean_token_entropy,min_token_entropy,max_token_entropy,sum_token_entropy,high_entropy_token_ratio
halueval_qa_000000_supported,halueval,qa,0,right_answer,models/qwen2.5-0.5b,mps,3,0.8979030847549438,0.7100508809089661,0.994615375995636,-0.11961174088840683,-0.3424186110496521,-0.005399168934673071,-0.3588352226652205,0.11961174088840683,0.0,0.4389502095679442,0.04736940935254097,1.1839652061462402,1.3168506287038326,0.0
halueval_qa_000000_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-0.5b,mps,7,0.6520983023302895,0.08471499383449554,0.9976187348365784,-0.7267007380723953,-2.4684627056121826,-0.0023840833455324173,-5.086905166506767,0.7267007380723953,0.14285714285714285,0.7310834433883429,0.021021386608481407,1.5635151863098145,5.1175841037184,0.0
halueval_qa_000001_supported,halueval,qa,0,right_answer,models/qwen2.5-0.5b,mps,2,0.5090564154088497,0.01892416924238205,0.9991886615753174,-1.9840635202417616,-3.967315435409546,-0.0008116050739772618,-3.968127040483523,1.9840635202417616,0.5,0.472396022407338,0.007222545798867941,0.9375694990158081,0.944792044814676,0.0
halueval_qa_000001_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-0.5b,mps,12,0.5292829092068132,0.0007371719693765044,0.9988995790481567,-1.954234908722962,-7.212689399719238,-0.0011010067537426949,-23.450818904675543,1.954234908722962,0.3333333333333333,0.9203652230401834,0.010077595710754395,2.6983213424682617,11.0443826764822,0.16666666666666666
halueval_qa_000002_supported,halueval,qa,0,right_answer,models/qwen2.5-0.5b,mps,3,0.6572670526220463,0.0009363254648633301,0.9968969821929932,-2.3343440875566253,-6.973547458648682,-0.003107839496806264,-7.003032262669876,2.3343440875566253,0.3333333333333333,0.9974401034414768,0.0333581380546093,2.7549400329589844,2.9923203103244305,0.3333333333333333
halueval_qa_000002_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-0.5b,mps,23,0.48591864353005326,0.003070614067837596,0.99989914894104,-1.6516985546701977,-5.785877704620361,-0.00010084597306558862,-37.98906675741455,1.6516985546701977,0.34782608695652173,1.2626735293255795,0.0011634699767455459,3.0717287063598633,29.04149117448833,0.34782608695652173
halueval_qa_000003_supported,halueval,qa,0,right_answer,models/qwen2.5-0.5b,mps,1,0.010263565927743912,0.010263565927743912,0.010263565927743912,-4.579154968261719,-4.579154968261719,-4.579154968261719,-4.579154968261719,4.579154968261719,1.0,3.1345605850219727,3.1345605850219727,3.1345605850219727,3.1345605850219727,1.0
halueval_qa_000003_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-0.5b,mps,8,0.6992458086460829,0.19065682590007782,0.9980021119117737,-0.4913364637468476,-1.6572802066802979,-0.0019998804200440645,-3.9306917099747807,0.4913364637468476,0.0,1.0984071949496865,0.021571412682533264,3.1345605850219727,8.787257559597492,0.25
halueval_qa_000004_supported,halueval,qa,0,right_answer,models/qwen2.5-0.5b,mps,2,0.4969497718848288,0.012821336276829243,0.9810782074928284,-2.187873875722289,-4.356644630432129,-0.019103121012449265,-4.375747751444578,2.187873875722289,0.5,1.8627480268478394,0.12694621086120605,3.5985498428344727,3.7254960536956787,0.5
halueval_qa_000004_hallucinated,halueval,qa,1,hallucinated_answer,models/qwen2.5-0.5b,mps,6,0.17331669031894611,0.00023832437000237405,0.5576177835464478,-4.558217227458954,-8.341877937316895,-0.5840815305709839,-27.349303364753723,4.558217227458954,0.5,3.5350385506947837,2.2792911529541016,4.8450493812561035,21.2102313041687,1.0
