model,fold,evaluation,train_rows,test_rows,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,roc_auc
Logistic Regression,1,grouped_5_fold_cv,16000,4000,0.9105,0.927159209157128,0.891,0.9087200407955125,1860,140,218,1782,0.96186025
Linear SVM,1,grouped_5_fold_cv,16000,4000,0.90325,0.9278514588859417,0.8745,0.9003861003861003,1864,136,251,1749,0.9587777500000001
Random Forest,1,grouped_5_fold_cv,16000,4000,0.92825,0.9336708860759494,0.922,0.9277987421383648,1869,131,156,1844,0.9717119999999999
Logistic Regression,2,grouped_5_fold_cv,16000,4000,0.912,0.9216990788126919,0.9005,0.9109762266059687,1847,153,199,1801,0.96102
Linear SVM,2,grouped_5_fold_cv,16000,4000,0.909,0.9229576008273009,0.8925,0.9074733096085409,1851,149,215,1785,0.9586792499999999
Random Forest,2,grouped_5_fold_cv,16000,4000,0.9225,0.9187314172447968,0.927,0.9228471876555501,1836,164,146,1854,0.9689291250000003
Logistic Regression,3,grouped_5_fold_cv,16000,4000,0.91125,0.9281624154086413,0.8915,0.9094618719714359,1862,138,217,1783,0.96350175
Linear SVM,3,grouped_5_fold_cv,16000,4000,0.905,0.9281183932346723,0.878,0.9023638232271326,1864,136,244,1756,0.96004975
Random Forest,3,grouped_5_fold_cv,16000,4000,0.93025,0.9326294620412268,0.9275,0.9300576585610428,1866,134,145,1855,0.9702318750000001
Logistic Regression,4,grouped_5_fold_cv,16000,4000,0.90825,0.927710843373494,0.8855,0.9061140956766437,1862,138,229,1771,0.9615947500000002
Linear SVM,4,grouped_5_fold_cv,16000,4000,0.9075,0.9344349680170576,0.8765,0.9045407636738906,1877,123,247,1753,0.9596807500000001
Random Forest,4,grouped_5_fold_cv,16000,4000,0.92575,0.9259629814907454,0.9255,0.9257314328582146,1852,148,149,1851,0.9669172500000001
Logistic Regression,5,grouped_5_fold_cv,16000,4000,0.9095,0.9178571428571428,0.8995,0.9085858585858586,1839,161,201,1799,0.9623565000000001
Linear SVM,5,grouped_5_fold_cv,16000,4000,0.90675,0.9195461578133058,0.8915,0.9053059152069053,1844,156,217,1783,0.9611080000000001
Random Forest,5,grouped_5_fold_cv,16000,4000,0.929,0.9272908366533864,0.931,0.9291417165668663,1854,146,138,1862,0.9726493749999999
