evaluation,feature_group,feature_count,model,train_rows,test_rows,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,roc_auc
halueval_grouped_80_20,confidence_logprob,10,Logistic Regression,16000,4000,0.96425,0.9759097898513582,0.952,0.9638066312325994,1953,47,96,1904,0.991936375
halueval_grouped_80_20,confidence_logprob,10,Linear SVM,16000,4000,0.9625,0.976313079299691,0.948,0.9619482496194824,1954,46,104,1896,0.9912727499999999
halueval_grouped_80_20,confidence_logprob,10,RBF SVM,16000,4000,0.9715,0.9724448897795591,0.9705,0.9714714714714715,1945,55,59,1941,0.99466625
halueval_grouped_80_20,confidence_logprob,10,Random Forest,16000,4000,0.96975,0.9713998996487707,0.968,0.9696969696969697,1943,57,64,1936,0.9945213749999998
halueval_grouped_80_20,entropy,6,Logistic Regression,16000,4000,0.96475,0.9701568032372281,0.959,0.9645461403067639,1941,59,82,1918,0.98917275
halueval_grouped_80_20,entropy,6,Linear SVM,16000,4000,0.9635,0.9691295546558705,0.9575,0.9632796780684104,1939,61,85,1915,0.9889845
halueval_grouped_80_20,entropy,6,RBF SVM,16000,4000,0.9665,0.9697885196374623,0.963,0.9663823381836427,1940,60,74,1926,0.99012075
halueval_grouped_80_20,entropy,6,Random Forest,16000,4000,0.96225,0.9620189905047476,0.9625,0.9622594351412147,1924,76,75,1925,0.989160625
halueval_grouped_80_20,all_features,15,Logistic Regression,16000,4000,0.96975,0.9761784085149519,0.963,0.9695444248678581,1953,47,74,1926,0.9932117500000001
halueval_grouped_80_20,all_features,15,Linear SVM,16000,4000,0.969,0.9766260162601627,0.961,0.96875,1954,46,78,1922,0.99318775
halueval_grouped_80_20,all_features,15,RBF SVM,16000,4000,0.97625,0.9774436090225563,0.975,0.9762202753441802,1955,45,50,1950,0.99449225
halueval_grouped_80_20,all_features,15,Random Forest,16000,4000,0.9745,0.9735528942115769,0.9755,0.9745254745254746,1947,53,49,1951,0.9938244999999999
