model,fold,evaluation,train_rows,test_rows,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,roc_auc
Logistic Regression,1,grouped_5_fold_cv,16000,4000,0.986,0.9864864864864865,0.9855,0.9859929964982491,1973,27,29,1971,0.9985415
Linear SVM,1,grouped_5_fold_cv,16000,4000,0.98625,0.9899244332493703,0.9825,0.986198243412798,1980,20,35,1965,0.9980585000000002
RBF SVM,1,grouped_5_fold_cv,16000,4000,0.9865,0.9884538152610441,0.9845,0.9864729458917836,1977,23,31,1969,0.9969720000000001
Random Forest,1,grouped_5_fold_cv,16000,4000,0.9865,0.986986986986987,0.986,0.9864932466233116,1974,26,28,1972,0.9981492500000001
Logistic Regression,2,grouped_5_fold_cv,16000,4000,0.98775,0.9899547965846308,0.9855,0.9877223753445252,1980,20,29,1971,0.998171
Linear SVM,2,grouped_5_fold_cv,16000,4000,0.98775,0.9894631209232313,0.986,0.9877285249186075,1979,21,28,1972,0.99826
RBF SVM,2,grouped_5_fold_cv,16000,4000,0.989,0.9885114885114885,0.9895,0.9890054972513743,1977,23,21,1979,0.99827225
Random Forest,2,grouped_5_fold_cv,16000,4000,0.9865,0.986013986013986,0.987,0.9865067466266867,1972,28,26,1974,0.998207
Logistic Regression,3,grouped_5_fold_cv,16000,4000,0.98625,0.9864932466233116,0.986,0.9862465616404101,1973,27,28,1972,0.99895525
Linear SVM,3,grouped_5_fold_cv,16000,4000,0.987,0.9884653961885657,0.9855,0.9869804707060591,1977,23,29,1971,0.998533
RBF SVM,3,grouped_5_fold_cv,16000,4000,0.98875,0.9865604778496765,0.991,0.9887752556747319,1973,27,18,1982,0.9985755000000001
Random Forest,3,grouped_5_fold_cv,16000,4000,0.987,0.9845771144278607,0.9895,0.9870324189526185,1969,31,21,1979,0.999150875
Logistic Regression,4,grouped_5_fold_cv,16000,4000,0.9885,0.9885,0.9885,0.9885,1977,23,23,1977,0.99847175
Linear SVM,4,grouped_5_fold_cv,16000,4000,0.98875,0.9904666332162569,0.987,0.9887302779864763,1981,19,26,1974,0.9984395
RBF SVM,4,grouped_5_fold_cv,16000,4000,0.989,0.9875373878364905,0.9905,0.9890164752870694,1975,25,19,1981,0.99738425
Random Forest,4,grouped_5_fold_cv,16000,4000,0.98875,0.987045341305431,0.9905,0.9887696531070627,1974,26,19,1981,0.997506125
Logistic Regression,5,grouped_5_fold_cv,16000,4000,0.987,0.985543369890329,0.9885,0.9870194707938093,1971,29,23,1977,0.9986585
Linear SVM,5,grouped_5_fold_cv,16000,4000,0.98775,0.9865336658354115,0.989,0.9877652933832709,1973,27,22,1978,0.998774
RBF SVM,5,grouped_5_fold_cv,16000,4000,0.988,0.9850894632206759,0.991,0.9880358923230309,1970,30,18,1982,0.9982192499999999
Random Forest,5,grouped_5_fold_cv,16000,4000,0.98825,0.9870324189526185,0.9895,0.9882646691635456,1974,26,21,1979,0.9979088749999999
