evaluation,feature_group,feature_count,model,train_rows,test_rows,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,roc_auc
halueval_to_truthfulqa,confidence_logprob,10,Logistic Regression,20000,5918,0.476681311253802,0.5232680564329333,0.7489451476793249,0.616090244204785,336,2264,833,2485,0.36953458988269117
halueval_to_truthfulqa,confidence_logprob,10,Linear SVM,20000,5918,0.4770192632646164,0.5237284528623112,0.741711874623267,0.6139453660970438,362,2238,857,2461,0.36753292066583204
halueval_to_truthfulqa,confidence_logprob,10,RBF SVM,20000,5918,0.48749577559986484,0.5297432686286788,0.7649186256781193,0.6259711431742508,347,2253,780,2538,0.40485313209996754
halueval_to_truthfulqa,confidence_logprob,10,Random Forest,20000,5918,0.4912132477188239,0.5319591921715594,0.770042194092827,0.6292328530969092,352,2248,763,2555,0.4081965502851579
halueval_to_truthfulqa,entropy,6,Logistic Regression,20000,5918,0.5001689760054072,0.5366151342554922,0.7950572634116938,0.6407578333738159,322,2278,680,2638,0.4063098136041174
halueval_to_truthfulqa,entropy,6,Linear SVM,20000,5918,0.5010138560324434,0.5370107483269114,0.7980711271850512,0.6420172142077828,317,2283,670,2648,0.40622246951360874
halueval_to_truthfulqa,entropy,6,RBF SVM,20000,5918,0.4967894558972626,0.5348360655737705,0.786618444846293,0.6367406684557209,330,2270,708,2610,0.42838283024991886
halueval_to_truthfulqa,entropy,6,Random Forest,20000,5918,0.5035484961135519,0.5383064516129032,0.8047016274864376,0.6450833534670211,310,2290,648,2670,0.4390930008809756
halueval_to_truthfulqa,all_features,15,Logistic Regression,20000,5918,0.4837783034809057,0.5272087730188288,0.7679324894514767,0.6251993620414673,315,2285,770,2548,0.3751637339453795
halueval_to_truthfulqa,all_features,15,Linear SVM,20000,5918,0.48360932747549845,0.5271446332366349,0.7667269439421338,0.6247544204322201,318,2282,774,2544,0.37190870311123475
halueval_to_truthfulqa,all_features,15,RBF SVM,20000,5918,0.47296383913484286,0.5210760432111841,0.7414104882459313,0.6120164199527305,339,2261,858,2460,0.3914948764315853
halueval_to_truthfulqa,all_features,15,Random Forest,20000,5918,0.49019939168638055,0.5309607076733183,0.7778782399035563,0.6311284998166035,320,2280,737,2581,0.39854186952288223
