evaluation,feature_group,feature_count,model,train_rows,test_rows,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,roc_auc
halueval_to_truthfulqa,confidence_logprob,10,Logistic Regression,20000,5918,0.4824264954376479,0.526859068885612,0.7537673297166968,0.6202107873527588,354,2246,817,2501,0.3901098321509714
halueval_to_truthfulqa,confidence_logprob,10,Linear SVM,20000,5918,0.48090571138898275,0.5260262378332629,0.7492465340566606,0.618100447538538,360,2240,832,2486,0.38687021838920577
halueval_to_truthfulqa,confidence_logprob,10,RBF SVM,20000,5918,0.4935789117945252,0.533278042712005,0.7751657625075347,0.631863407443803,349,2251,746,2572,0.41158598785181066
halueval_to_truthfulqa,confidence_logprob,10,Random Forest,20000,5918,0.48766475160527206,0.5297792586422324,0.7667269439421338,0.6266009852216748,342,2258,774,2544,0.41263440673250806
halueval_to_truthfulqa,entropy,6,Logistic Regression,20000,5918,0.5032105441027374,0.5379213483146067,0.8080168776371308,0.6458684654300169,297,2303,637,2681,0.4231771340473872
halueval_to_truthfulqa,entropy,6,Linear SVM,20000,5918,0.5035484961135519,0.5381679389312977,0.8074141048824593,0.6458534233365477,301,2299,639,2679,0.42218980386701904
halueval_to_truthfulqa,entropy,6,RBF SVM,20000,5918,0.5099695843190267,0.5417832866853258,0.8167570825798673,0.6514423076923077,308,2292,608,2710,0.43457040849445916
halueval_to_truthfulqa,entropy,6,Random Forest,20000,5918,0.5128421764109496,0.543026706231454,0.8273056057866185,0.6556789681117879,290,2310,573,2745,0.4526996684749849
halueval_to_truthfulqa,all_features,15,Logistic Regression,20000,5918,0.4886786076377154,0.5299794661190965,0.7778782399035563,0.6304347826086957,311,2289,737,2581,0.3944211642787593
halueval_to_truthfulqa,all_features,15,Linear SVM,20000,5918,0.48732679959445757,0.5292421746293245,0.7745629897528632,0.628823097626621,314,2286,748,2570,0.3910392034126211
halueval_to_truthfulqa,all_features,15,RBF SVM,20000,5918,0.4851301115241636,0.5283295003136107,0.7616033755274262,0.6238735958523639,344,2256,791,2527,0.3953616636528029
halueval_to_truthfulqa,all_features,15,Random Forest,20000,5918,0.4969584319026698,0.5346192893401015,0.7935503315250151,0.6388450806745117,308,2292,685,2633,0.39997530950062593
