evaluation,feature_group,feature_count,model,train_rows,test_rows,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,roc_auc
truthfulqa_grouped_80_20,confidence_logprob,10,Logistic Regression,4786,1132,0.5962897526501767,0.6015228426395939,0.7682333873581848,0.6747330960854092,201,314,143,474,0.6178958631650171
truthfulqa_grouped_80_20,confidence_logprob,10,Linear SVM,4786,1132,0.592756183745583,0.5984848484848485,0.7682333873581848,0.6728176011355571,197,318,143,474,0.6176975972053941
truthfulqa_grouped_80_20,confidence_logprob,10,RBF SVM,4786,1132,0.598939929328622,0.5978391356542617,0.807131280388979,0.6868965517241379,180,335,119,498,0.6349498827713176
truthfulqa_grouped_80_20,confidence_logprob,10,Random Forest,4786,1132,0.6157243816254417,0.6346153846153846,0.6952998379254457,0.6635730858468677,268,247,188,429,0.6489386477002722
truthfulqa_grouped_80_20,entropy,6,Logistic Regression,4786,1132,0.6113074204946997,0.6054827175208581,0.8233387358184765,0.6978021978021978,184,331,109,508,0.6464618967443472
truthfulqa_grouped_80_20,entropy,6,Linear SVM,4786,1132,0.6095406360424028,0.6035502958579881,0.826580226904376,0.6976744186046512,180,335,107,510,0.6465185441613822
truthfulqa_grouped_80_20,entropy,6,RBF SVM,4786,1132,0.6192579505300353,0.6002155172413793,0.9027552674230146,0.7210355987055016,144,371,60,557,0.6610139887649289
truthfulqa_grouped_80_20,entropy,6,Random Forest,4786,1132,0.6042402826855123,0.6212338593974175,0.7017828200972447,0.6590563165905632,251,264,184,433,0.6240436814526915
truthfulqa_grouped_80_20,all_features,15,Logistic Regression,4786,1132,0.6192579505300353,0.6217277486910995,0.7698541329011345,0.6879073135409124,226,289,142,475,0.6618857295715251
truthfulqa_grouped_80_20,all_features,15,Linear SVM,4786,1132,0.6192579505300353,0.6207792207792208,0.7747163695299838,0.6892573900504686,223,292,139,478,0.6614231089990716
truthfulqa_grouped_80_20,all_features,15,RBF SVM,4786,1132,0.642226148409894,0.6318407960199005,0.8233387358184765,0.7149894440534834,219,296,109,508,0.6801639628015295
truthfulqa_grouped_80_20,all_features,15,Random Forest,4786,1132,0.6492932862190812,0.6575931232091691,0.7439222042139384,0.6980988593155893,276,239,158,459,0.6897798618432439
