model,fold,evaluation,train_rows,test_rows,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,roc_auc
Logistic Regression,1,grouped_5_fold_cv,4733,1185,0.6497890295358649,0.6582914572864321,0.7856071964017991,0.7163362952836637,246,272,143,524,0.6710361035698367
Linear SVM,1,grouped_5_fold_cv,4733,1185,0.6489451476793249,0.6570713391739674,0.7871064467766117,0.7162346521145976,244,274,142,525,0.6700809826746859
RBF SVM,1,grouped_5_fold_cv,4733,1185,0.6481012658227848,0.6498800959232613,0.8125937031484258,0.7221852098600933,226,292,125,542,0.6819678963607
Random Forest,1,grouped_5_fold_cv,4733,1185,0.659915611814346,0.6774193548387096,0.7556221889055472,0.7143869596031184,278,240,163,504,0.6935769566953975
Logistic Regression,2,grouped_5_fold_cv,4735,1183,0.6314454775993238,0.650472334682861,0.7314112291350531,0.6885714285714286,265,259,177,482,0.6746545193388085
Linear SVM,2,grouped_5_fold_cv,4735,1183,0.6297548605240912,0.6479250334672021,0.7344461305007587,0.6884779516358464,261,263,175,484,0.675421932374984
RBF SVM,2,grouped_5_fold_cv,4735,1183,0.6601859678782755,0.6553808948004837,0.8224582701062215,0.7294751009421265,239,285,117,542,0.6975465950028381
Random Forest,2,grouped_5_fold_cv,4735,1183,0.650887573964497,0.6708333333333333,0.7329286798179059,0.700507614213198,287,237,176,483,0.6946637282952426
Logistic Regression,3,grouped_5_fold_cv,4735,1183,0.628909551986475,0.6353522867737948,0.7811550151975684,0.7007498295841854,230,295,144,514,0.6717817339701839
Linear SVM,3,grouped_5_fold_cv,4735,1183,0.6314454775993238,0.6370370370370371,0.78419452887538,0.7029972752043597,231,294,142,516,0.6715183094514402
RBF SVM,3,grouped_5_fold_cv,4735,1183,0.63229078613694,0.629802095459837,0.8221884498480243,0.7132498352010547,207,318,117,541,0.6834939933420175
Random Forest,3,grouped_5_fold_cv,4735,1183,0.6525781910397295,0.6712898751733704,0.7355623100303952,0.7019579405366208,288,237,174,484,0.6945809813287017
Logistic Regression,4,grouped_5_fold_cv,4735,1183,0.6365173288250211,0.6415552855407047,0.7963800904977375,0.7106325706594886,225,295,135,528,0.6752436477549599
Linear SVM,4,grouped_5_fold_cv,4735,1183,0.6356720202874049,0.6407766990291263,0.7963800904977375,0.7101546738399462,224,296,135,528,0.6754234830026684
RBF SVM,4,grouped_5_fold_cv,4735,1183,0.6373626373626373,0.6335616438356164,0.8371040723981901,0.7212475633528265,199,321,108,555,0.6803921568627451
Random Forest,4,grouped_5_fold_cv,4735,1183,0.6373626373626373,0.6503856041131105,0.7631975867269984,0.7022900763358778,248,272,157,506,0.6706172409792319
Logistic Regression,5,grouped_5_fold_cv,4734,1184,0.6140202702702703,0.6340852130325815,0.7540983606557377,0.6889040163376446,221,292,165,506,0.6500146707221772
Linear SVM,5,grouped_5_fold_cv,4734,1184,0.612331081081081,0.6325,0.7540983606557377,0.6879673691366417,219,294,165,506,0.6499013720756603
RBF SVM,5,grouped_5_fold_cv,4734,1184,0.6224662162162162,0.6330166270783848,0.7943368107302533,0.7045604758757436,204,309,138,533,0.6666666666666666
Random Forest,5,grouped_5_fold_cv,4734,1184,0.6258445945945946,0.6561643835616439,0.713859910581222,0.6837972876516774,262,251,192,479,0.6672229920719999
